epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.598,2.01403,3.75114,1.78556,0.03104,0.11202,0.0311,0.01355,1.62141,3.87521,1.24587,0.00010003,0.00010003,0.00010003
2,218.169,1.69146,3.12757,1.5132,0.06887,0.12644,0.05073,0.02355,1.36622,3.6224,1.13271,0.000210106,0.000210106,0.000210106
3,366.924,1.54444,2.34728,1.42361,0.17624,0.21889,0.11989,0.06644,1.44532,3.20067,1.14315,0.000315655,0.000315655,0.000315655
4,453.504,1.44791,2.03496,1.37227,0.17168,0.40563,0.20955,0.12685,1.42603,2.71333,1.19133,0.000416676,0.000416676,0.000416676
5,537.136,1.29077,1.70111,1.25797,0.16329,0.54237,0.32626,0.1889,1.31156,2.43424,1.21418,0.000513171,0.000513171,0.000513171
6,631.995,1.29046,1.69093,1.29487,0.15344,0.59131,0.27352,0.15692,1.31731,2.35924,1.20335,0.000605139,0.000605139,0.000605139
7,718.498,1.24523,1.56469,1.35047,0.46207,0.35411,0.2968,0.17845,1.22735,2.04169,1.15801,0.000692579,0.000692579,0.000692579
8,821.395,1.21705,1.5326,1.28214,0.46692,0.32306,0.29479,0.17319,1.22229,2.01322,1.16974,0.000775493,0.000775493,0.000775493
9,932.636,1.24104,1.50714,1.27046,0.4929,0.29123,0.28777,0.16072,1.25522,1.986,1.15646,0.000853879,0.000853879,0.000853879
10,1045.64,1.22035,1.38656,1.23396,0.52087,0.34583,0.33105,0.18953,1.25498,1.6934,1.15762,0.000927738,0.000927738,0.000927738
11,1149.99,1.184,1.35997,1.25681,0.39528,0.41748,0.31563,0.1737,1.27304,1.57485,1.14857,0.00099707,0.00099707,0.00099707
12,1258.28,1.17066,1.32132,1.2924,0.48428,0.44736,0.37558,0.21696,1.163,1.36801,1.10693,0.00106188,0.00106188,0.00106188
13,1368.57,1.22477,1.31697,1.28065,0.48658,0.43269,0.37127,0.19495,1.34121,1.56335,1.15168,0.00108947,0.00108947,0.00108947
14,1472.39,1.15646,1.27652,1.23837,0.49185,0.43103,0.40364,0.25096,1.06945,1.46741,1.08247,0.00106118,0.00106118,0.00106118
15,1560.95,1.15782,1.26277,1.27392,0.54366,0.46223,0.4207,0.25138,1.145,1.41648,1.08779,0.00103288,0.00103288,0.00103288
16,1643.59,1.11141,1.2005,1.21581,0.50443,0.49234,0.43502,0.27195,1.05144,1.352,1.07773,0.00100459,0.00100459,0.00100459
17,1741.22,1.10791,1.24752,1.22436,0.55163,0.4497,0.43058,0.27579,1.10536,1.32691,1.11037,0.000976293,0.000976293,0.000976293
18,1854.93,1.12022,1.25927,1.23787,0.4651,0.46616,0.41073,0.24956,1.06442,1.46931,1.11417,0.000947999,0.000947999,0.000947999
19,1961.44,1.07677,1.20978,1.20345,0.52804,0.47465,0.45666,0.28939,1.03033,1.206,1.09244,0.000919704,0.000919704,0.000919704
20,2068.45,1.06475,1.17828,1.18374,0.47553,0.4529,0.41027,0.26493,1.04618,1.17226,1.09516,0.00089141,0.00089141,0.00089141
21,2173.59,1.01622,1.14081,1.22351,0.41063,0.52926,0.41385,0.25739,1.10626,1.31307,1.07977,0.000863116,0.000863116,0.000863116
22,2279.51,1.04527,1.15186,1.20904,0.53358,0.50505,0.45244,0.29128,1.01655,1.19659,1.06531,0.000834822,0.000834822,0.000834822
23,2389.64,1.01254,1.1254,1.20028,0.53835,0.4837,0.45128,0.30351,0.96265,1.18645,1.04036,0.000806528,0.000806528,0.000806528
24,2497.7,1.02746,1.171,1.17918,0.53619,0.47609,0.45924,0.30893,0.99654,1.16857,1.04381,0.000778233,0.000778233,0.000778233
25,2615.31,0.99244,1.17676,1.18891,0.55277,0.45376,0.44911,0.30307,0.94025,1.18189,1.03728,0.000749939,0.000749939,0.000749939
26,2882.72,1.01929,1.19427,1.2232,0.57547,0.48106,0.45964,0.30392,0.96496,1.24137,1.02853,0.000721645,0.000721645,0.000721645
27,3056.37,0.99095,1.12008,1.19899,0.61059,0.47734,0.47073,0.31961,0.95335,1.14693,1.01437,0.000693351,0.000693351,0.000693351
28,49171.3,0.98413,1.1436,1.19823,0.60655,0.48909,0.49129,0.33296,0.94116,1.10942,1.02807,0.000665057,0.000665057,0.000665057
29,49282.9,0.9596,1.11223,1.19823,0.61918,0.49817,0.51136,0.3416,0.97446,1.09715,1.03477,0.000636762,0.000636762,0.000636762
30,49398.7,1.00063,1.09522,1.17797,0.61702,0.51643,0.51115,0.34236,0.96681,1.08988,1.04168,0.000608468,0.000608468,0.000608468
31,49510.7,0.98715,1.04762,1.18087,0.6359,0.50298,0.49925,0.33775,0.93974,1.09963,1.02248,0.000580174,0.000580174,0.000580174
32,49600.4,0.95533,1.06958,1.17394,0.60931,0.5071,0.48237,0.32666,0.96063,1.08093,1.02412,0.00055188,0.00055188,0.00055188
33,49683.9,0.99212,1.06165,1.15956,0.63191,0.50579,0.48959,0.32897,0.94146,1.08388,1.01418,0.000523586,0.000523586,0.000523586
34,49770.6,0.95306,1.08597,1.15746,0.64543,0.50109,0.51805,0.35655,0.9333,1.05984,1.02207,0.000495291,0.000495291,0.000495291
35,50443.1,0.99197,1.11079,1.16853,0.65585,0.49107,0.51695,0.35402,0.91591,1.07442,1.02545,0.000466997,0.000466997,0.000466997
36,50529.2,0.95751,1.06789,1.14597,0.64072,0.49819,0.51369,0.35415,0.9434,1.08849,1.02659,0.000438703,0.000438703,0.000438703
37,50619.7,0.95812,1.07237,1.16188,0.65915,0.48852,0.52337,0.35907,0.94593,1.07643,1.02273,0.000410409,0.000410409,0.000410409
38,50815.7,0.93206,1.05822,1.13468,0.61772,0.50481,0.51632,0.3657,0.90405,1.04835,1.01089,0.000382115,0.000382115,0.000382115
39,50898.9,0.92387,1.11352,1.17591,0.65152,0.48071,0.5216,0.36501,0.91954,1.07238,1.0198,0.00035382,0.00035382,0.00035382
